angleChange,distanceChange,xChange,yChange,zChange
8.75946e-06,0.10175,-0.0307121,0,0.0970039
7.10386e-06,0.101953,-0.0302162,0,0.0973721
5.5817e-06,0.102026,-0.0298157,0,0.0975718
4.18382e-06,0.101968,-0.0295124,0,0.097604
2.9342e-06,0.101778,-0.0293036,0,0.0974681
1.97827e-06,0.101454,-0.029192,0,0.0971637
1.78219e-06,0.100998,-0.0291767,0,0.0966923
2.54375e-06,0.100409,-0.0292559,0,0.0960519
3.76861e-06,0.0996878,-0.0294323,0,0.0952439
5.21137e-06,0.0988375,-0.0297041,0,0.0942683
6.82555e-06,0.0978591,-0.0300722,0,0.0931239
8.62121e-06,0.0967564,-0.0305347,0,0.0918119
1.06284e-05,0.0955349,-0.0310974,0,0.090332
1.28874e-05,0.0941963,-0.0317507,0,0.088684
1.54461e-05,0.0927499,-0.0325041,0,0.0868679
1.83583e-05,0.0912009,-0.0333519,0,0.0848838
2.16833e-05,0.0895596,-0.034297,0,0.0827323
2.54828e-05,0.0878325,-0.0353346,0,0.0804116
2.9818e-05,0.0860374,-0.0364723,0,0.0779244
3.47431e-05,0.0841837,-0.0377045,0,0.075268
4.02946e-05,0.0822901,-0.039032,0,0.0724442
4.64753e-05,0.0803755,-0.0404558,0,0.0694518
5.32322e-05,0.0784639,-0.041976,0,0.0662918
6.04257e-05,0.0765819,-0.0435925,0,0.0629642
6.77974e-05,0.0747584,-0.0453033,0,0.0594678
7.49413e-05,0.0730322,-0.0471125,0,0.0558043
8.13005e-05,0.0714398,-0.049016,0,0.0519719
8.3203e-05,0.0879687,-0.0634222,0.000914063,0.0609531
7.31904e-05,0.0872545,-0.0652027,0.00264844,0.0579218
6.69159e-05,0.0866928,-0.0668907,0.00424219,0.0549844
6.16195e-05,0.0862623,-0.0684843,0.00569531,0.0521407
5.64548e-05,0.085944,-0.0699844,0.00700781,0.0493906
5.131e-05,0.0857179,-0.0713902,0.00817969,0.0467344
4.62615e-05,0.0855673,-0.0727034,0.00921093,0.0441718
4.13944e-05,0.0854733,-0.0739222,0.0101016,0.0417032
3.67639e-05,0.0854192,-0.0750465,0.0108516,0.0393282
3.23957e-05,0.0853917,-0.0760784,0.0114609,0.0370468
2.82938e-05,0.0853753,-0.0770159,0.0119297,0.0348594
2.44486e-05,0.0853572,-0.0778589,0.0122578,0.0327656
2.08424e-05,0.085328,-0.0786095,0.0124453,0.0307657
1.74564e-05,0.0852757,-0.0792656,0.0124922,0.0288593
1.42764e-05,0.0851928,-0.0798283,0.0123984,0.0270469
1.13036e-05,0.0850706,-0.0802965,0.0121641,0.0253281
8.58001e-06,0.0849048,-0.0806723,0.0117891,0.0237031
6.26139e-06,0.0846887,-0.0809536,0.0112734,0.0221719
4.80949e-06,0.0844172,-0.0811396,0.0106172,0.0207344
4.96504e-06,0.0840925,-0.0812349,0.00982031,0.0193906
6.60484e-06,0.0837084,-0.0812349,0.00888281,0.0181406
8.97002e-06,0.0832647,-0.0811396,0.00780471,0.0169844
1.16663e-05,0.0827669,-0.0809536,0.00658593,0.0159219
1.45606e-05,0.0822127,-0.0806723,0.00522655,0.0149531
1.7611e-05,0.0816064,-0.0802965,0.00372657,0.0140781
2.08091e-05,0.080955,-0.0798283,0.00208595,0.0132969
2.41587e-05,0.0802628,-0.0792656,0.000304669,0.0126094
2.76692e-05,0.079538,-0.0786085,-0.00161719,0.0120156
3.13521e-05,0.0787938,-0.0778608,-0.00367969,0.0115156
3.52187e-05,0.0780341,-0.0770149,-0.0058828,0.0111094
3.92791e-05,0.0772789,-0.0760775,-0.00822657,0.0107969
4.35407e-05,0.0765425,-0.0750475,-0.010711,0.0105781
4.80067e-05,0.0758384,-0.0739212,-0.0133359,0.010453
5.26745e-05,0.0751908,-0.0727034,-0.0161016,0.0104219
5.75334e-05,0.0746184,-0.0713911,-0.0190078,0.0104845
6.25628e-05,0.0741448,-0.0699844,-0.0220547,0.0106407
6.77303e-05,0.0737962,-0.0684843,-0.0252422,0.0108905
7.299e-05,0.0735992,-0.0668907,-0.0285703,0.0112345
7.82849e-05,0.0735807,-0.0652027,-0.032039,0.0116718
8.35555e-05,0.0737706,-0.0634222,-0.0356485,0.0122032
7.57191e-05,0.0750033,-0.0624924,-0.0393516,0.0131016
